ING; №   Накл.;Дата продажи; №  п/п;Артикул+Название;Кол-во;Фирма;Витр;Work;Метка;Учет;Ost_Old;Ost_New;Baza_Old;;;Baza_new;;
2557;15679;21.01.2019;;;5;D+Z;;;бн;;;;;;;;;
2558;15679;21.01.2019;;;5;D+Z;;;бн;;;;;;;;;
2807;15679;21.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4225;15679;21.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4067;15679;21.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4858;15679;21.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4859;15679;21.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4054;15679;21.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4055;15679;21.01.2019;;;20;D+Z;;;бн;;;;;;;;;
3099;15679;21.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4046;15679;21.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4124;15679;21.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4126;15679;21.01.2019;;;30;D+Z;;;бн;;;;;;;;;
4824;15679;21.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4842;15679;21.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4180;15679;21.01.2019;;;40;D+Z;;;бн;;;;;;;;;
4181;15679;21.01.2019;;;30;D+Z;;;бн;;;;;;;;;
4182;15679;21.01.2019;;;40;D+Z;;;бн;;;;;;;;;
4183;15679;21.01.2019;;;40;D+Z;;;бн;;;;;;;;;
4184;15679;21.01.2019;;;30;D+Z;;;бн;;;;;;;;;
4185;15679;21.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4835;15679;21.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4023;15679;21.01.2019;;;30;D+Z;;;бн;;;;;;;;;
4000;15679;21.01.2019;;;50;D+Z;;;бн;;;;;;;;;
4001;15679;21.01.2019;;;50;D+Z;;;бн;;;;;;;;;
4002;15679;21.01.2019;;;50;D+Z;;;бн;;;;;;;;;
4024;15679;21.01.2019;;;30;D+Z;;;бн;;;;;;;;;
4822;15679;21.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4833;15679;21.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4029;15679;21.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4030;15679;21.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4086;15679;21.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4090;15679;21.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4093;15679;21.01.2019;;;15;D+Z;;;бн;;;;;;;;;
4004;15679;21.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4091;15679;21.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4147;15679;21.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4095;15679;21.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4096;15679;21.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4132;15679;21.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4005;15679;21.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4006;15679;21.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4099;15679;21.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4853;15679;21.01.2019;;;20;D+Z;;;бн;;;;;;;;;
4106;15679;21.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4856;15679;21.01.2019;;;50;D+Z;;;бн;;;;;;;;;
4031;15679;21.01.2019;;;15;D+Z;;;бн;;;;;;;;;
4032;15679;21.01.2019;;;30;D+Z;;;бн;;;;;;;;;
4033;15679;21.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4034;15679;21.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4071;15679;21.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4114;15679;21.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4010;15679;21.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4861;15679;21.01.2019;;;10;D+Z;;;бн;;;;;;;;;
